Dy,BART,BARTp,BARTpadj,CCT,CCTn,CCTnadj,CCTr,CCTradj,DFEss,DFEr,DFD,DFDr,LOT,LOTr,LOTcv,MT,MTr,VRTTT,GABS,SOEP,SOEPdri,SOEPfin,SOEPrec,SOEPocc,SOEPhea,SOEPsoc,Deth,Dinv,Dgam,Dhea,Drec,Dsoc,Deth_r,Dinv_r,Dgam_r,Dhea_r,Drec_r,Dsoc_r,Deth_b,Dinv_b,Dgam_b,Dhea_b,Drec_b,Dsoc_b,PRI,PRIw,BIS1att,BIS1mot,BIS1ctr,BIS1com,BIS1per,BIS1ins,BISa,BISm,BISn,BIS,SStas,SSexp,SSdis,SSbor,SSSV,age,sex,loc,ses,NUM,gen_valence,gen_arousal,gen_arouspos,gen_arousneg,gen_happy,gen_afraid,gen_sad,gen_angry,gen_motivat,gen_concentr,gen_timepr,gen_tired,pre_valence,pre_arousal,pre_arouspos,pre_arousneg,pre_happy,pre_afraid,pre_sad,pre_angry,pre_motivat,pre_concentr,pre_timepr,pre_tired,mid1_valence,mid1_arousal,mid1_arouspos,mid1_arousneg,mid1_happy,mid1_afraid,mid1_sad,mid1_angry,mid1_motivat,mid1_concentr,mid1_timepr,mid1_tired,mid2_valence,mid2_arousal,mid2_arouspos,mid2_arousneg,mid2_happy,mid2_afraid,mid2_sad,mid2_angry,mid2_motivat,mid2_concentr,mid2_timepr,mid2_tired,post_valence,post_arousal,post_arouspos,post_arousneg,post_happy,post_afraid,post_sad,post_angry,post_motivat,post_concentr,post_timepr,post_tired,ABCTEU_OS,ABCTEU_CS,ABCTEU_DEV,ABCTEU_BIC,ABCT4P_OS,ABCT4P_PW,ABCT4P_LA,ABCT4P_CS,ABCT4P_DEV,ABCT4P_BIC,ABCT6P_OSg,ABCT6P_OSl,ABCT6P_PWg,ABCT6P_PWl,ABCT6P_LA,ABCT6P_CS,ABCT6P_DEV,ABCT6P_BIC,ABCTRN_DEV,MPLEU_OS,MPLEU_CS,MPLEU_DEV,MPLEU_BIC,MPL4P_OS,MPL4P_PW,MPL4P_LA,MPL4P_CS,MPL4P_DEV,MPL4P_BIC,MPL6P_OSg,MPL6P_OSl,MPL6P_PWg,MPL6P_PWl,MPL6P_LA,MPL6P_CS,MPL6P_DEV,MPL6P_BIC,MPLRN_DEV,CCTEU_OS,CCTEU_CS,CCTEU_DEV,CCTEU_BIC,CCT3P_OS,CCT3P_PW,CCT3P_LA,CCT3P_DEV,CCT3P_BIC,CCT4P_OS,CCT4P_PW,CCT4P_LA,CCT4P_CS,CCT4P_DEV,CCT4P_BIC,CCT6P_OSg,CCT6P_OSl,CCT6P_PWg,CCT6P_PWl,CCT6P_LA,CCT6P_CS,CCT6P_DEV,CCT6P_BIC,CCTRN_mp,CCTRN_DEV,CCTRN_BIC,BARTRN_pm,BARTRN_DEV,BARTRN_BIC,BART1_OS,BART1_alpha,BART1_mu,BART1_LA,BART1_CS,BART1_DEV,BART1_BIC,BART3_OS,BART3_alpha,BART3_mu,BART3_CS,BART3_DEV,BART3_BIC
29,47.3,47.3,56.88,496,496,190,0.22166891,0.25463988,39.5,0.62,0.625,0.625,0.62,0.62,0.42,0.7512437810945275,0.7512437810945275,8.48,0,5,4,4,8,7,9,4,3,1.5,1,3.625,2.75,4.375,3.625,1.75,2.5,3.25,3.125,2.125,3.25,1,1,2.75,2.75,4.5,3,15,14,14,17,15,8,7,21,22,32,75,19,18,18,15,70,24,1,1,7,1,31,40,10,44,19,70,80,54,35,59,19,60,50,22,0,0,41,0,36,21,63,63,21,80,40,57,8,57,30,31,42,68,61,60,24,82,48,57,19,44,20,21,29,35,65,64,59,84,46,19,16,25,10,13,58,15,63,58,0,100,0.9033566,0.10679934,58.324873,66.148919,1.2866079,0.64853768999999994,0.34508236,0.044959904,53.91494,69.563032,1.2870705,0.57970974,0.58923858,1.1789091,10,0.054510539,50.056731,73.528869,69.314718,0.596882,2.3743779,31.817611,40.196921,0.78529494,0.49286782,1.1443395,2.7385048,20.01859,36.777209,0.63557028,0.92252676,1.0517184,2.9184932e-10,0.40970074,5.9718271,14.19072,39.328648,91.495428,0.11309655,5.4024783,234.00215,242.86378,0.088057276,0.28256535,0.50409631,183.10969,196.40214,0.088079966,0.28261663,0.50407861,10,183.10969,200.83296,0.07147876,0.18885545,0.3302004,0.17624291,0.71998372,10,182.46214,209.04704,0.95019327,206.66062,211.09144,0.97121584,562.14353,565.54472,1.6485704,82.808212,83.120705,0.11637294,9.6544511,102.48511,119.4911,0.55124165,359.63602,362.1356,0.25880274,98.497752,112.10254
29,31.47,31.47,33.83,688,688,222,0.3128151,0.67161113,6.38,0.62,0.375,0.375,0.42,0.42,0.38,0.718905472636816,0.718905472636816,5.21,0,5,5,4,5,5,6,4,1.125,1.25,1,2.625,1.875,2.5,1,1,1,2,1.5,2.125,1,1,1,1.5,1,1.375,3,14,9,12,19,13,8,5,14,20,32,66,15,16,18,14,63,28,0,1,4,0,68,50,74,45,55,70,30,57,68,70,44,56,60,1,60,0,73,0,10,0,90,85,3,0,39,66,41,42,59,0,0,40,43,34,30,3,19,100,0,18,5,1,69,85,21,13,71,70,61,40,68,2,69,0,0,0,19,10,21,63,0.0092787951,0,69.314718,77.138764,0.0072347873,1.5190352,0.89728362,0,69.314718,84.96281,0.80006507,0.13725367,1.6034875,1.4559682,4.843792e-11,0.0010761964,69.313896,92.786035,69.314718,0.048690576,0.25935781,91.400899,99.780209,1.5043522e-13,10,0.0027568078,10,90.516039,107.27466,0.01477946,0.0085476377,5.8788861,8.3266727e-15,10,5.5379569,89.694265,114.83219,91.495428,0.026098037,4.6874419,240.59299,249.45463,0.096989529,0.3365085,0.049306171,104.25569,117.54814,0.096991233,0.33650359,0.049288211,10,104.25569,121.97896,0.09939558,4.2953037,0.37980845,1.517628,10,10,95.157136,121.74204,0.98426373,113.1646,117.59542,0.97443184,251.28966,254.69085,1.5974718,46.161891,49.781002,0.16067983,9.9999894,111.78692,128.7929,0.6781714,221.98528,229.3126,0.70286384,99.480667,113.08546
32,49.07,49.07,57.14,469,469,165,0.21770025,0.19999013,24.88,0.12,0.75,0.75,0.52,0.52,0.34,0.7823383084577116,0.7823383084577116,8.16,1,9,4,6,6,6,7,7,1.875,1,1.25,3.125,1.5,3.125,3.25,4.25,3,3.125,3.5,2.25,3.375,1,1,1.875,2,3.125,4,13,12,18,15,14,6,5,17,24,29,70,13,18,14,12,57,23,1,1,4,3,80,40,70,61,89,10,10,30,71,20,74,11,80,30,71,0,89,0,0,0,90,80,10,10,61,60,59,10,61,0,0,61,70,70,0,0,60,30,62,0,70,0,0,0,73,75,59,67,78,0,0,0,60,0,0,1,33,27,39,70,0.48462129,2.1103584,42.181487,50.005533,0.63951902,0.78023176,1.0934803,1.2075902,40.603786,56.251878,0.79059483,0.57580161,0.9489739,0.66510056,4.7430023,0.49616057,38.621208,62.093346,69.314718,0.44807927,3.1812475,44.068751,52.448061,0.76312761,1.0594843,1.5536089,1.3929243,25.329132,42.087751,0.37324374,0.71734205,10,1.3315363,0.37356066,8.395372,16.58958,41.727509,91.495428,0.18103553,6.4347818,269.6626,278.52423,0.12971366,0.29167523,0.39264294,198.61205,211.9045,0.12969431,0.29164237,0.39266684,10,198.61205,216.33532,0.11265403,0.77745683,0.35350379,0.44380834,1.34587,10,190.81368,217.39858,0.94366568,215.46964,219.90045,0.9809032,544.34626,547.74746,0.73691858,5554.1941,5571.1116,8.3392684,9.9999957,125.20428,142.21027,0.59704401,3998.7073,4018.1897,0.080968838,128.85057,142.45536
34,35.57,35.57,33.05,325,325,127,0.15838724,0.12832624,19.62,0.62,0.375,0.375,0.52,0.52,0.42,0.7512437810945275,0.7512437810945275,9.07,0,4,6,4,7,7,8,8,3.125,3,1.25,3.5,4.125,4,3.625,3.5,4.25,3.375,3,2,2.625,2.75,2,1.875,2.875,3.75,6,37,11,17,17,9,7,5,16,24,26,66,18,20,15,16,69,20,0,1,4,3,70,59,63,33,71,14,10,31,78,79,59,63,69,17,59,0,72,0,0,0,73,61,0,79,65,78,75,20,67,0,0,20,75,74,0,17,48,55,30,63,41,0,44,63,26,0,67,58,53,44,54,56,59,39,38,62,42,40,11,36,0.48094488,1.2421183,53.74576,61.569806,0.73850349,0.58827761,0.58205966,0.91317241,46.046035,61.694127,0.66010955,0.95419775,0.52140912,0.75443094,0.11043983,1.5513093,43.83478,67.306918,69.314718,0.49163604,2.9828066,39.135852,47.515161,0.70573536,0.78234725,1.3205544,1.7562013,28.500181,45.2588,0.34227267,0.8885032,9.1969872,1.1544647,0.13632714,10,17.092513,42.230441,91.495428,0.36663738,10,252.18074,261.04238,0.23322091,0.42792461,0.53888605,218.36281,231.65526,0.2332265,0.42795211,0.53888203,10,218.36281,236.08608,0.21013613,0.66149788,0.4567092,0.56763434,1.4134443,10,211.58681,238.17171,0.89042065,252.32834,256.75916,0.97873609,348.48218,351.88338,0.25360212,703.59882,728.32017,9.9881951,9.9987595,174.69824,191.70423,2,306.98068,312.6032,0.035815149,186.72776,200.33255
30,34.43,34.43,37.35,376,376,185,0.18993524,0.18578946,43.62,0.5,0.5,0.5,0.36,0.36,0.38,0.6865671641791045,0.6865671641791045,10.42,1,8,7,7,10,9,7,8,2.375,1.75,2.25,2.625,4,3.875,3.25,3.75,2.75,3.75,3.5,2.25,2.5,2.75,2,1.25,3,4.375,6,32,10,17,13,14,7,6,16,24,27,67,20,18,16,13,67,26,0,1,2,3,86,69,87,26,89,21,13,20,85,76,66,21,88,21,49,0,81,0,0,0,92,85,0,20,70,80,67,17,64,0,9,21,81,84,0,0,75,28,44,0,67,0,1,0,76,73,0,31,72,36,34,0,54,0,0,0,64,66,66,71,1.4421754,0.012125876,52.022373,59.846419,1.3062117,0.79951737,2.861922,0.029908455,39.949287,55.597379,1.2089453,1.3434972,0.85549222,0.78440309,1.5570595,0.046941782,39.691805,63.163943,69.314718,5.0744423,5.7275851e-11,81.704137,90.083446,0.51624567,0.090990805,1.096414,2.1529773,64.164153,80.922772,0.31350425,0.68541551,5.1292983,1.8343882e-10,0.34288114,4.3932712,58.285799,83.423728,91.495428,0.23097734,6.1558459,305.39833,314.25997,0.15771753,0.25132107,0.40635063,237.64056,250.93301,0.15772622,0.25134422,0.40634516,10,237.64056,255.36383,0.14660645,0.57805435,0.35007032,0.23497049,0.90227656,9.3563439,233.04395,259.62885,0.91040902,249.10875,253.53957,0.94100113,752.42787,755.82906,1.5906219,164.65596,164.82727,0.32319661,9.6702085,110.20294,127.20893,0.34903332,316.31107,317.85205,0.46435557,99.933201,113.53799
30,26.87,26.87,27.78,595,595,176,0.27318634,0.49256118,19.25,0.5,0.5,0.5,0.46,0.46,0.36,0.767412935323383,0.767412935323383,7.11,0,8,3,6,9,7,3,2,1.875,2,1,2.5,4.125,4.125,3.625,3.5,3.75,3.375,3.375,2.125,2.25,2.5,2.25,1.375,3.75,3.125,6,33,9,12,9,9,5,5,14,17,18,49,20,15,14,14,63,26,1,1,2,2,80,25,77,30,75,20,37,17,86,76,20,21,52,18,18,2,71,1,16,8,69,72,1,14,69,14,19,16,69,9,13,10,76,71,5,10,67,19,53,15,61,4,8,17,71,70,13,18,81,16,57,13,78,8,9,8,77,77,5,13,1.2585328,0.044034481,44.970554,52.7946,0.87968811,1.5084939,2.2610361,0.27283152,27.926108,43.5742,0.93756472,0.85639539,1.4830181,1.5267193,3.3494029,0.2038994,27.887635,51.359773,69.314718,0.65996506,1.306337,38.931142,47.310451,0.52738401,0.58185464,0.86509222,3.3522987,36.377342,53.135961,0.44174057,0.36848565,1.1292572,2.5974223e-10,1.7325716,5.1528026,33.198076,58.336005,91.495428,0.056007697,4.883222,230.76293,239.62457,0.099285041,0.24077793,2.5748409e-9,114.33037,127.62282,0.099284495,0.24077821,5.7419014e-10,10,114.33037,132.05364,0.090495524,8.9017308,0.23452588,1.2342498,10,10,113.8739,140.4588,0.98023108,117.92812,122.35894,0.97312597,349.83048,353.23168,0.84321179,34.228249,35.026348,3.5098675,9.9256173,139.25786,156.26384,0.49493878,37.6214,38.510893,0.29095084,139.52263,153.12742
34,14.27,14.27,13.81,418,418,250,0.19675549,0.28004785,18.88,0.88,0.5,0.5,0.44,0.44,0.36,0.7549751243781095,0.7549751243781095,9.43,0,8,6,1,7,8,4,3,1.75,1,1,2.75,1.375,3.25,4.125,4,4.25,4,3.5,2,3.5,2.25,2,1,1.5,2.375,4,22,7,23,16,13,6,3,10,29,29,68,11,17,13,11,52,25,0,1,4,1,80,19,58,39,64,11,21,48,79,69,94,60,66,8,48,3,42,0,0,0,94,77,0,66,47,69,29,0,55,2,0,42,84,87,0,57,77,59,59,0,71,0,0,1,69,67,0,0,76,17,64,2,82,0,0,2,75,76,0,24,1.2554052,0.0235838,56.203036,64.027082,0.89630747,1.3351318,2.8206621,0.095002562,47.244121,62.892213,0.93818732,0.95886585,2.6855762,0.97872255,3.9622525,0.069828315,44.400457,67.872595,69.314718,0.23787461,0.7633224,88.758406,97.137716,0.49175293,0.38302752,2.0153572,3.1502308,33.505871,50.26449,0.32425524,0.61727439,0.90074418,0.0096395558,0.50058521,8.3884437,29.215293,54.353221,91.495428,1.2877699e-9,2.8661679,268.64403,277.50566,0.039365382,0.12957703,0.49995126,217.50229,230.79474,0.039363697,0.12957813,0.49996087,10,217.50229,235.22556,0.028688981,0.054538303,0.17655139,2.0570609e-7,0.60579942,9.9999638,217.04841,243.63331,0.93096526,225.53687,229.96769,0.9007089,638.63215,642.03334,1.3916486,846.78367,847.4899,7.459858,9.8447486,95.769201,112.77519,0.062057761,900.70778,902.42172,1.0687731,92.631606,106.2364
30,42.57,42.57,47.94,79,79,47,0.058116422,0.031289581,20.38,0.25,0.375,0.375,0.48,0.48,0.42,0.716417910447761,0.716417910447761,6.94,0,4,1,1,7,3,8,8,1.25,2.5,1,2.5,1.5,3.25,2.5,3.5,4.75,3,3.375,2.25,3.125,4,4,1.5,2.125,2.25,4,20,15,18,19,12,9,6,21,27,31,79,15,17,13,14,59,24,0,1,8,2,70,30,60,11,53,59,19,21,60,46,31,70,60,40,53,0,41,1,5,0,80,70,0,69,47,78,80,8,49,30,6,38,71,81,16,20,49,59,39,59,36,4,3,26,91,87,53,60,55,27,13,15,24,4,14,14,13,6,13,82,1.6486251,0.0023626545,62.227944,70.05199,1.6365653,0.72537417,1.9909528,0.0029228221,59.419616,75.067708,1.8453785,1.518137,0.82831164,0.68771419,9.9999999,0.0010719082,58.788286,82.260424,69.314718,0.39453514,1.5132375,72.733041,81.11235,0.50912146,0.369998,1.48302,5.2817646,28.909495,45.668114,0.52370265,1.1437065,0.7418144,0.23317304,0.11462877,10,10.637229,35.775157,91.495428,0.99241124,10,183.40305,192.26468,0.29233224,0.16098916,0.85119151,171.93314,185.22559,0.2923671,0.16102107,0.85120652,10,171.93314,189.6564,0.24588649,0.22016559,0.25802894,2.0459745e-11,0.89856906,10,171.06161,197.64651,0.57245912,188.39984,192.83065,0.97756103,440.27973,443.68093,0.95024865,135.95007,137.76796,1.7911007,9.998629,127.96949,144.97548,0.67270255,195.03137,197.43229,0.15598661,127.6148,141.21959
32,23.3,23.3,24.36,541,541,260,0.23321079,0.28997961,16.88,0.75,0.375,0.375,0.58,0.58,0.34,0.7375621890547265,0.7375621890547265,8.36,0,7,7,4,7,6,4,6,1.75,1.25,1.25,2.625,3.625,3.75,3.5,3.25,3.5,3.75,2.625,2.25,1.5,2,1.5,1.625,2.375,3.5,6,27,9,16,12,12,8,5,14,24,24,62,17,18,14,14,63,27,0,1,6,2,94,78,82,6,96,9,7,4,68,69,33,44,97,23,65,0,84,0,0,0,90,92,0,80,80,40,68,7,76,0,0,0,69,81,22,45,59,66,82,46,65,0,0,53,58,79,61,35,91,27,80,0,86,0,0,0,34,53,29,41,0.86695294,0.3063334,42.81527,50.639316,1.0248624,1.2323657,0.11241204,0.62122135,31.960757,47.608849,1.3461247,0.62597993,1.2559837,0.70827413,10,0.18925638,23.52184,46.993978,69.314718,1.3375858,0.054929587,41.332701,49.71201,0.22551923,10,0.5597495,10,27.97206,44.730679,0.2526997,1.2765984,8.6297096,9.9950511,0.0045827452,9.9941665,23.125991,48.26392,91.495428,0.22934973,10,218.36384,227.22547,0.22532251,0.88903379,0.47860767,192.63934,205.93179,0.22530962,0.88894508,0.47861866,10,192.63934,210.36261,0.13812578,0.41136883,1.2565756,0.38872916,1.044533,8.2300901,189.58447,216.16937,0.94746308,235.16697,239.59779,0.9471094,336.48418,339.88538,1.3489243,92.893461,95.662269,0.76749594,9.9989251,115.83052,132.83651,0.34641385,124.09604,126.54107,0.7386325,103.7865,117.39129
30,41.73,41.73,48,371,371,253,0.16726071,0.21649132,21.88,0.5,0.375,0.375,0.4,0.4,0.38,0.7487562189054725,0.7487562189054725,6.44,0,6,3,4,7,6,3,6,1.375,1,1,2,3.375,2.75,3.625,4,4,3.625,2.875,2.625,3,3,2.5,2.25,2.875,2.875,2,8,12,20,15,13,8,6,18,28,28,74,18,19,18,15,70,28,0,1,3,2,89,23,80,10,91,10,9,11,80,80,41,21,80,29,70,0,85,0,0,0,70,69,0,30,68,59,69,30,70,11,20,31,69,80,20,59,64,31,41,20,70,2,10,10,61,69,9,41,60,28,58,10,60,11,8,21,61,47,30,61,1.1028972,0.052095006,56.540854,64.3649,1.0851426,1.2389949,2.8430937,0.041958305,46.704975,62.353067,0.61466765,1.2548494,1.6443494,1.0949578,0.12738892,0.51293209,43.984366,67.456504,69.314718,0.54184338,4.8351399,22.042181,30.421491,0.49042854,0.56601511,0.95335742,8.7185962,18.50733,35.265949,0.48226641,0.88745277,0.68718222,0.41334328,0.16097368,10,14.597285,39.735214,91.495428,0.24033268,6.9406504,270.93247,279.79411,0.10694819,0.24779253,0.64723646,244.45067,257.74312,0.10697293,0.24783949,0.64723695,10,244.45067,262.17394,0.062109818,0.22218044,0.13585989,0.38766291,0.86453606,10,243.1623,269.7472,0.9004805,266.9884,271.41922,0.9782393,423.86895,427.27015,0.59499262,119.86032,120.49161,9.3812764,9.9976502,147.561,164.56699,0.61548181,107.19992,107.71037,0.096847176,154.33416,167.93895
30,34.83,34.83,35.71,225,225,176,0.092890008,0.092281601,16.12,0.25,0.375,0.375,0.46,0.46,0.3,0.691542288557214,0.691542288557214,5.4,0,4,3,3,7,7,6,7,2.25,1.75,1.25,2.625,2.375,3.25,3.75,3.25,4.5,3.625,3.25,3,3.25,3.25,1.25,1.625,2.625,3.375,6,27,9,10,13,13,5,6,15,15,26,56,17,17,15,12,61,25,0,1,3,2,80,40,89,11,90,21,0,0,79,80,30,21,90,21,70,0,79,0,0,0,80,80,0,10,40,70,31,60,41,0,60,61,71,89,0,0,61,69,40,60,61,20,0,39,71,80,0,11,80,29,69,0,69,0,0,0,70,71,30,31,1.0570461,0.15554412,38.029455,45.853501,0.97355752,0.97925457,1.5940887,0.22306911,35.110066,50.758158,1.2294519,0.8237266,0.82534704,1.0873603,10,0.083810447,30.997759,54.469897,69.314718,0.2874645,0.78647592,87.493932,95.873242,0.55212515,0.36362231,1.8875521,10,11.880439,28.639058,0.77820051,1.0301514,0.23788249,0.81225049,0.70205165,10,2.3219249,27.459853,91.495428,1.0377893e-9,2.1059446,250.03866,258.90029,6.0236705e-10,0.16569478,1.1619376,246.69851,259.99096,2.7347191e-9,0.83049403,1.6146064,2.4145299,245.03143,262.7547,0.0023581856,5.9829919e-12,1.0935245,0.38151574,1.7100804,3.2445936,244.83091,271.41581,0.77587254,308.61541,313.04623,0.9731345,497.16193,500.56313,0.64562984,15.253981,14.929832,8.6365982,7.6873159,166.69307,183.69905,0.45360205,162.50102,163.21694,0.11048967,166.08736,179.69215
32,35.43,35.43,38.27,358,358,75,0.17084075,0.099170909,41.5,0.38,0.25,0.25,0.46,0.46,0.42,0.6977611940298505,0.6977611940298505,7.59,0,4,4,4,3,7,6,9,2.125,2.25,1,2.625,1.75,3.5,3.375,3.75,4.25,3.5,2.875,2.375,2.875,2,2,1.875,2.375,3.375,5,23,10,17,16,9,7,4,14,24,25,63,12,17,15,14,58,26,0,1,5,4,76,45,79,30,80,59,30,31,65,55,40,59,90,23,89,1,89,19,0,0,69,65,0,80,10,80,19,79,30,80,90,89,80,73,0,21,41,39,40,56,70,45,21,40,30,20,0,69,60,30,70,25,71,54,17,21,76,39,29,55,1.3948412,0.013216514,53.33384,61.157886,1.5178881,0.69223368,1.0210736,0.012908278,48.491171,64.139263,1.5933204,1.1411249,0.44132355,1.0239611,7.1940809,0.029660626,26.122639,49.594777,69.314718,0.77211543,0.44658327,52.633192,61.012501,0.57748229,0.30211219,0.8928499,2.3462651,46.651325,63.409944,0.51335145,0.43969981,0.59451642,4.5630721e-11,1.5464459,3.1949199,44.320931,69.458859,91.495428,0.31147875,10,235.40067,244.26231,0.13529762,0.25330078,0.40865472,181.83433,195.12678,0.13528613,0.25327264,0.40864788,10,181.83433,199.5576,0.07512545,0.68219037,0.63008778,1.6358154e-9,1.8715253,10,140.25996,166.84486,0.93229455,190.21084,194.64166,0.96501215,580.90061,584.3018,1.9915097,92.666436,91.81991,0.064755801,6.5109615,157.01792,174.0239,0.44360499,203.34952,203.60641,0.10897721,176.65426,190.25905
33,35.53,35.53,39.59,545,545,178,0.23774214,0.22816727,40.88,0.25,0.125,0.125,0.5,0.5,0.34,0.718905472636816,0.718905472636816,7.74,0,6,2,3,1,5,2,2,2.125,3.5,1,1.875,2.75,3.125,3.625,3.5,5,3.875,3.5,2,3.625,3.25,1,1.125,2.25,3.25,5,21,14,19,19,9,11,7,21,30,28,79,14,18,15,15,62,25,0,1,4,3,81,31,70,21,89,31,70,19,89,59,11,21,61,56,60,0,71,0,0,0,79,61,0,9,53,70,53,69,55,0,11,69,40,90,30,21,70,11,68,59,80,0,11,19,70,60,67,10,69,9,54,56,71,0,11,0,39,39,0,69,1.0371468,0.18195579,37.420191,45.244237,1.1762767,0.8513838,1.257289,0.11402081,34.633026,50.281118,1.4491579,0.98613449,0.77180542,0.93482319,10,0.036313889,31.145616,54.617754,69.314718,0.33414683,0.74648034,86.478476,94.857785,0.69726929,0.45502856,2.1270561,10,7.1560861,23.914705,0.73071632,0.72713991,0.41473802,0.51811303,2.1742053,10,7.1253562,32.263285,91.495428,0.23286001,10,223.25125,232.11289,0.0868723,0.33353173,0.54117059,179.80801,193.10046,0.086879376,0.33354606,0.54115548,10,179.80801,197.53128,0.0056381324,0.54007529,0.20781554,0.58542643,1.7443994,10,168.65321,195.23811,0.95446116,211.44094,215.87176,0.97503865,299.38272,302.78392,1.6587278,261.62596,269.10249,0.11253081,9.9995376,121.5778,138.58378,0.58139478,434.89217,442.72502,0.49473736,110.73621,124.341
32,37.5,37.5,41.18,387,387,163,0.17974999,0.14522194,23.75,0.75,0.25,0.25,0.54,0.54,0.3,0.7114427860696515,0.7114427860696515,10.38,0,4,4,1,9,5,5,8,1.625,1.5,1.25,2.5,4.625,4,3.25,2.75,3.75,3.25,3,2.25,2.5,1.75,1.25,1.5,3.625,3.5,5,26,8,17,12,11,6,7,15,23,23,61,19,17,13,16,65,23,1,1,3,4,51,11,0,50,50,0,50,4,41,35,65,70,50,53,0,0,47,1,0,0,35,34,54,77,50,11,5,0,51,1,0,14,24,23,0,51,50,10,0,0,50,0,20,0,16,24,0,80,50,0,0,0,50,0,0,1,19,16,1,19,0.96622387,0.39803632,26.484484,34.30853,0.89950365,1.0150573,1.3722997,0.50877044,25.07928,40.727372,1.1323163,0.71271943,1.006525,1.0534879,10,0.20282835,20.928093,44.400231,69.314718,0.88685369,0.69213475,30.595284,38.974594,0.36645815,1.2573992,0.72663969,10,20.765664,37.524283,0.37744318,0.95262018,1.2450523,3.2963487,0.0356979,10,17.890261,43.028189,91.495428,0.20079439,6.3382336,277.69891,286.56055,0.10951352,0.24551165,0.56971214,239.70008,252.99253,0.10948593,0.24546286,0.56973603,10,239.70008,257.42335,0.0064267072,0.25908048,0.27021153,4.0828452e-12,1.2702397,10,229.48555,256.07045,0.91058861,255.99853,260.42935,0.96328006,514.30235,517.70355,0.7135955,47.144218,48.354496,6.107208,9.4388855,147.69438,164.70037,0.46678129,76.286624,77.86825,0.21398349,141.93954,155.54433
30,32.53,32.53,32.05,483,483,224,0.21578941,0.22839797,27.38,0.62,0.625,0.625,0.42,0.42,0.46,0.77363184079602,0.77363184079602,7.63,0,9,3,1,7,9,3,8,1.875,1,1,2.5,3.375,3.625,3.875,5,5,3.75,2.5,2,2.875,4.75,2.5,1.25,2.875,3.375,6,35,12,19,14,13,8,7,19,27,27,73,19,19,19,16,73,21,0,1,3,1,96,45,79,32,95,40,0,0,92,38,56,32,100,8,78,0,96,0,0,0,95,94,0,76,85,31,86,17,82,0,0,21,76,73,22,65,81,12,74,0,79,0,0,0,82,76,0,28,76,47,71,43,71,0,1,43,38,29,37,80,1.6350806,0.004174475,54.546494,62.37054,1.3739269,0.79808159,2.7432419,0.0171679,45.344483,60.992575,0.30696434,2.100739,0.61449606,0.93108645,3.5232932e-4,10,28.681287,52.153425,69.314718,0.41010572,5.5602947,33.749621,42.12893,0.28284898,10,0.9684613,8.5788971,26.866732,43.625351,0.29405193,0.11035071,7.5634685,0.3193441,9.9999656,9.9999979,23.030092,48.168021,91.495428,0.045438254,4.092156,243.55515,252.41678,0.054009106,0.23828685,0.64563098,213.80401,227.09646,0.054029859,0.23832022,0.64561833,10,213.80401,231.52728,0.029488036,0.096273459,0.37122759,3.4460212e-10,0.92392569,10,212.05814,238.64305,0.93604425,245.3166,249.74741,0.97448534,577.29999,580.70118,0.58337755,302.68698,303.55054,8.8117739,7.1780002,166.61814,183.62413,0.61733913,407.34006,409.29316,0.082651103,165.85634,179.46113
29,46.63,46.63,55,411,411,177,0.20453743,0.27712253,51.38,0.5,0.5,0.5,0.44,0.44,0.42,0.7064676616915425,0.7064676616915425,9.44,0,7,3,3,5,6,5,6,1.125,1,1.25,1.5,1.875,3.5,3.5,3,3,3.75,2.625,2,1.375,1,1,1.375,2.25,3.125,6,40,10,14,14,10,6,4,14,20,24,58,15,16,13,14,58,25,0,1,5,1,85,20,77,0,97,15,0,0,96,91,0,20,96,6,60,0,89,0,0,0,83,30,0,30,41,65,42,59,37,0,0,59,63,71,10,0,65,34,54,0,70,0,0,0,71,67,0,62,91,1,35,0,82,1,0,1,34,31,0,71,0.5191985,0.79755399,57.319164,65.14321,0.66137001,0.66773973,1.0155658,0.61032544,55.021596,70.669688,0.51297326,0.82578112,0.65781098,0.69492447,0.18124471,1.4188231,54.580343,78.052481,69.314718,0.58308551,1.7680853,40.798798,49.178107,2.5862633,3.4707322,2.8005153,3.7179185e-4,27.73142,44.490039,3.0481387,2.6478882,0.53818888,8.6226513,7.8524674,1.45738e-4,22.226835,47.364764,91.495428,0.24111551,7.5788542,271.1223,279.98394,0.17298673,0.3056507,0.1879357,172.84799,186.14044,0.17297162,0.30562244,0.18797211,10,172.84799,190.57125,0.09268086,0.65581894,0.26926915,0.17637732,0.88850392,10,165.76384,192.34874,0.94699986,179.8863,184.31712,0.98129948,397.58442,400.98562,1.6288692,22.885718,23.267647,0.082448839,8.1870471,124.19058,141.19656,0.62213737,1231.7639,1241.0112,0.15305586,124.95113,138.55592
